_customers,item1:LN=longitem1:DI=Hase,item2:LN=longitem2:DI=Hase,item3:LN=veryverylongitem3:DI=Hase,item4:LN=longitem4,item5:DI=Fuchs,item6,item7:DI=Fuchs,item8:DI=Fuchs,item9,item10:LN=longitem10,item11:LN=longitem11:DI=Fuchs,item12:LN=longitem12,item13,item14:DI=Eber,item15,item16:DI=Eber,item17:DI=Eber,item18,item19,item20
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
